"stateroute","spRich","ndvi.mean","nbcd.point","nbcd.mean","nbcd.var","file"
18009,83,0.917120066784481,210,208.166666666667,19.3666666666667,"NBCD_MZ65_BAW_height.tif"
18012,84,0.91908208216251,183,104.142857142857,9516.47619047619,"NBCD_MZ65_BAW_height.tif"
18102,72,0.903535207399799,179,180.333333333333,8.66666666666667,"NBCD_MZ65_BAW_height.tif"
21002,60,0.776323684210526,0,0,0,"NBCD_MZ60_BAW_height.tif"
21003,80,0.741274761559315,0,0,0,"NBCD_MZ60_BAW_height.tif"
21105,66,0.748655089428116,0,41.8333333333333,4202.56666666667,"NBCD_MZ60_BAW_height.tif"
21108,69,0.790609289594248,0,0,0,"NBCD_MZ60_BAW_height.tif"
21109,70,0.755241994964959,0,24.1666666666667,3504.16666666667,"NBCD_MZ60_BAW_height.tif"
25001,62,0.765007352941176,0,0,0,"NBCD_MZ46_BAW_height.tif"
25002,39,0.583526097758433,0,64,6408.33333333333,"NBCD_MZ46_BAW_height.tif"
25003,54,0.602716799398785,0,0,0,"NBCD_MZ46_BAW_height.tif"
25004,60,0.772662254901961,0,43.5,4541.5,"NBCD_MZ46_BAW_height.tif"
25005,53,0.754886868686869,135,133.166666666667,174.566666666667,"NBCD_MZ46_BAW_height.tif"
25006,51,0.807095897435897,0,86.5,8997.9,"NBCD_MZ55_BAW_height.tif"
25009,54,0.592127861575184,144,145.2,82.7,"NBCD_MZ46_BAW_height.tif"
25014,46,0.709347296494355,0,0,0,"NBCD_MZ55_BAW_height.tif"
25015,51,0.719307605175821,160,175.75,130.916666666667,"NBCD_MZ55_BAW_height.tif"
25017,38,0.695310945273632,0,0,0,"NBCD_MZ56_BAW_height.tif"
25018,44,0.685771644600202,0,85.4285714285714,6463.95238095238,"NBCD_MZ55_BAW_height.tif"
25020,48,0.696059895833333,150,129.166666666667,4202.56666666667,"NBCD_MZ56_BAW_height.tif"
25021,46,0.723368599033816,183,103.142857142857,9388.14285714286,"NBCD_MZ55_BAW_height.tif"
25022,42,0.70236815920398,170,145,5276,"NBCD_MZ56_BAW_height.tif"
25023,47,0.723070707070707,147,141.5,5039.5,"NBCD_MZ56_BAW_height.tif"
25024,45,0.735263184079602,0,46.5,5201.5,"NBCD_MZ56_BAW_height.tif"
25025,39,0.67491015250706,116,39.3333333333333,3714.66666666667,"NBCD_MZ56_BAW_height.tif"
25026,33,0.678982828282828,0,0,0,"NBCD_MZ56_BAW_height.tif"
25027,42,0.671916666666667,0,0,0,"NBCD_MZ56_BAW_height.tif"
25028,33,0.554476212468418,97,97,0.666666666666667,"NBCD_MZ56_BAW_height.tif"
25031,43,0.659693903856942,0,35.5,3032.7,"NBCD_MZ56_BAW_height.tif"
25037,53,0.73834068627451,180,176.166666666667,98.5666666666667,"NBCD_MZ55_BAW_height.tif"
25052,55,0.676040530795904,174,109.666666666667,7285.86666666667,"NBCD_MZ46_BAW_height.tif"
25053,49,0.734534299516908,178,139.833333333333,4732.96666666667,"NBCD_MZ46_BAW_height.tif"
25062,56,0.636981021084818,0,0,0,"NBCD_MZ55_BAW_height.tif"
25063,51,0.738092929292929,202,148,5457.6,"NBCD_MZ55_BAW_height.tif"
25066,45,0.731835294117647,0,16.4285714285714,1889.28571428571,"NBCD_MZ56_BAW_height.tif"
25067,37,0.70436523032523,0,0,0,"NBCD_MZ56_BAW_height.tif"
25071,38,0.696955721393035,0,0,0,"NBCD_MZ56_BAW_height.tif"
25073,43,0.705004102564102,135,113,3066.4,"NBCD_MZ56_BAW_height.tif"
25074,31,0.688246073108657,0,0,0,"NBCD_MZ56_BAW_height.tif"
25081,25,0.741560696517413,0,0,0,"NBCD_MZ56_BAW_height.tif"
25084,55,0.740532709447415,0,25.5,3901.5,"NBCD_MZ55_BAW_height.tif"
25086,37,0.671578094376602,0,17.6666666666667,1872.66666666667,"NBCD_MZ56_BAW_height.tif"
25087,27,0.577636829463114,0,42.6,3780.8,"NBCD_MZ56_BAW_height.tif"
25113,46,0.736144776119403,172,179.833333333333,21.7666666666667,"NBCD_MZ55_BAW_height.tif"
25129,39,0.685713131313131,0,0,0,"NBCD_MZ56_BAW_height.tif"
25132,31,0.586266699033934,0,12.8333333333333,988.166666666667,"NBCD_MZ56_BAW_height.tif"
25135,28,0.48123767307424,0,64.8333333333333,2560.96666666667,"NBCD_MZ56_BAW_height.tif"
25172,42,0.725930256410256,0,23.6,2784.8,"NBCD_MZ56_BAW_height.tif"
25175,27,0.63294603046824,0,0,0,"NBCD_MZ56_BAW_height.tif"
25180,23,0.389970467432855,0,47.8333333333333,5491.36666666667,"NBCD_MZ56_BAW_height.tif"
27001,51,0.673763884664622,151,152.6,49.8,"NBCD_MZ55_BAW_height.tif"
27007,54,0.749138888888889,159,95.5,5785.9,"NBCD_MZ55_BAW_height.tif"
27009,68,0.79470234741784,181,195,248.5,"NBCD_MZ55_BAW_height.tif"
